id;rulebook_id;page;name;name_pt;effect_1;effect_2
542;6;93;Deceitful;Fraudulento;SKILL(Disguise) 2;SKILL(Forgery) 2
560;6;93;Deflect Arrows;Desviar Objetos;;
571;6;93;Deft Hands;Mãos Leves;SKILL(Sleight of hand) 2;SKILL(Use rope) 2
610;6;93;Diehard;Duro de Matar;;
612;6;93;Diligent;Diligente;SKILL(Appraise) 2;SKILL(Decipher script) 2
681;6;93;Dodge;Esquiva;;
848;6;93;Empower Spell;Potencializar Magia;;
863;6;93;Endurance;Tolerância;;
897;6;94;Enlarge Spell;Aumentar Magia;;
950;6;94;Eschew Materials;Ignorar Componentes Materiais;;
985;6;94;Exotic Weapon Proficiency;Usar Arma Exótica;;
1006;6;94;Extend Spell;Extender Magia;;
1050;6;94;Extra Turning;Expulsão Adicional;;
1078;6;94;Far Shot;Tiro Longo;;
1182;6;94;Forge Ring;Forjar Anel;;
1258;6;94;Great Cleave;Trespassar Maior;;
1263;6;94;Great Fortitude;Fortitude maior;FORT 2;
1302;6;94;Greater Spell Focus;Foco em Magia Maior;;
3405;6;94;Greater Spell Penetration;Magia Penetrante Maior;;
1311;6;95;Greater Two-Weapon Fighting;Combater com Duas Armas Maior;;
1312;6;95;Greater Weapon Focus;Foco em Arma Maior;;
1313;6;95;Greater Weapon Specialization;Especialização em Arma Maior;;
1371;6;95;Heighten Spell;Elevar Magia;;
1451;6;82;Improved Bull Rush;Encontrão Aprimorado;;
1461;6;95;Improved Counterspell;Contramágica Aprimorada;;
1463;6;95;Improved Critical;Sucesso Decisivo Aprimorado;;
1468;6;95;Improved Disarm;Desarme Aprimorado;;
1491;6;95;Improved Feint;Fintar Aprimorado;;
1506;6;95;Improved Grapple;Imobilização Aprimorada;;
1512;6;96;Improved Initiative;Iniciativa Aprimorada;INIT 4;
1541;6;96;Improved Overrun;Atropelar Aprimorado;;
1544;6;96;Improved Precise Shot;Tiro Preciso Aprimorado;;
1552;6;96;Improved Shield Bash;Ataque com Escudo;;
1577;6;96;Improved Sunder;Separar Aprimorado;;
1587;6;96;Improved Trip;Derrubar Aprimorado;;
1590;6;96;Improved Turning;Expulsão Aprimorada;;
1593;6;96;Improved Two-Weapon Fighting;Combater com Duas Armas Aprimorado;;
1595;6;96;Improved Unarmed Strike;Ataque Desarmado Aprimorado;;
1682;6;96;Investigator;Investigador;SKILL(Gather Information) 2;SKILL(Search) 2
1688;6;97;Iron Will;Vontade de Ferro;WILL 2;
1740;6;97;Leadership;Liderança;;
1772;6;97;Lightning Reflexes;Reflexos Rápidos;REFL 2;
1827;6;97;Magical Aptitude;Aptidão Mágica;SKILL(Spellcraft) 2;SKILL(Use magic device) 2
1846;6;97;Manyshot;Tiro Múltiplo;;
1881;6;97;Martial Weapon Proficiency;Usar Arma Comum;;
1913;6;97;Maximize Spell;Maximizar Magia;;
1975;6;98;Mobility;Mobilidade;;
1989;6;98;Mounted Archery;Arqueria Montada;;
1992;6;83;Mounted Combat;Combate Montado;;
2036;6;98;Natural Spell;Magia Natural;;
2048;6;98;Negotiator;Negociador;SKILL(Diplomacy) 2;SKILL(Sense motive) 2
2059;6;98;Nimble Fingers;Dedos Lépidos;SKILL(Disable device) 2;SKILL(Open lock) 2
2148;6;98;Persuasive;Persuasivo;SKILL(Bluff) 2;SKILL(Intimidate) 2
2185;6;98;Point Blank Shot;Tiro Certeiro;;
2208;6;98;Power Attack;Ataque Poderoso;;
2234;6;98;Precise Shot;Tiro Preciso;;
2317;6;98;Quick Draw;Saque Rápido;;
2330;6;98;Quicken Spell;Acelerar Magia;;
2374;6;99;Rapid Reload;Rapidez de Recarga;;
2377;6;99;Rapid Shot;Tiro Rápido;;
2455;6;99;Ride-By Attack;Investida Montada;;
2476;6;99;Run;Corrida;;
2533;6;99;Scribe Scroll;Escrever Pergaminho;;
2545;6;100;Self-Sufficient;Auto-Suficiente;SKILL(Heal) 2;SKILL(Survival) 2
2591;6;100;Shield Proficiency;Usar Escudo;;
2618;6;100;Shot on the Run;Tiro em Movimento;;
2626;6;100;Silent Spell;Magia Silenciosa;;
2635;6;100;Simple Weapon Proficiency;Usar Armas Simples;;
2638;6;100;Skill Focus;Foco em Perícia;*SKILL 3;
2664;6;100;Snatch Arrows;Apanhar Objetos;;
2699;6;100;Spell Focus;Foco em Magia;;
2704;6;100;Spell Mastery;Dominar Magia;;
2707;6;100;Spell Penetration;Magia Penetrante;;
2733;6;100;Spirited Charge;Investida Implacável;;
2750;6;100;Spring Attack;Ataque em Movimento;;
2765;6;101;Stealthy;Sorrateiro;SKILL(Hide) 2;SKILL(Move silently) 2
2771;6;101;Still Spell;Magia Sem Gestos;;
2802;6;101;Stunning Fist;Ataque Atordoante;;
2948;6;101;Toughness;Vitalidade;HP 3;
2949;6;101;Tower Shield Proficiency;Usar Escudo de Corpo;;
2952;6;101;Track;Rastrear;;
2954;6;101;Trample;Pisotear;;
2996;6;102;Two-Weapon Defense;Bloqueio Ambidestro;;
2998;6;102;Two-Weapon Fighting;Combater com Duas Armas;;
3103;6;102;Weapon Finesse;Acuidade com Arma;;
3105;6;102;Weapon Focus;Foco em Arma;;
3124;6;102;Weapon Specialization;Especialização em Arma;;
3128;6;102;Whirlwind Attack;Ataque Giratório;;
3138;6;102;Widen Spell;Ampliar Magia;;
132;7;135;Ashbound Mark;;;
175;7;135;Bane of Argonnessen;;;
269;7;135;Breath of Siberys;;;
289;7;135;Cannith Forgecraft;;;
735;7;138;Dragonmark Adept;;;
736;7;138;Dragonmark Battlestrike;;;
737;7;138;Dragonmark Fist;;;
738;7;138;Dragonmark Mastery;;;
739;7;138;Dragonmark Prodigy;;;
740;7;138;Dragonmark Rage;;;
741;7;139;Dragonmark Smite;;;
742;7;139;Dragonmark Spellturning;;;
743;7;139;Dragonmark Visionary;;;
744;7;139;Dragonmarked Summoner;;;
821;7;139;Eldritch Dragonbane;;;
824;7;139;Eldritch Mark;;;
967;7;140;Evokers Mark;;;
1059;7;140;Eye of Medani;;;
1109;7;140;Feral Mark;;;
1206;7;140;Gatekeepers Mark;;;
1246;7;140;Grace of Ghallanda;;;
1273;7;140;Greater Aberrant Dragonmark;;;
1319;7;141;Greensingers Mark;;;
1358;7;141;Healing Strike;;;
1362;7;141;Heart of Siberys;;;
1417;7;141;Hunters Mark;;;
1470;7;141;Improved Draconic Aura;;;
1758;7;141;Lesser Aberrant Dragonmark;;;
1842;7;44;Manticore's Sting;;;
1849;7;142;Mark of Deflection;;;
1850;7;142;Mark of Destiny;;;
1853;7;142;Mark of Madness;;;
1859;7;142;Mark of Purity;;;
1860;7;142;Mark of Resilience;;;
1861;7;142;Mark of Stars;;;
1863;7;142;Mark of the Dauntless;;;
1864;7;142;Mark of the Recovery;;;
1866;7;143;Mark of the Wilderness;;;
1867;7;142;Mark of Truth;;;
1868;7;142;Mark of Twelve Moons;;;
1869;7;143;Mark of Vengeance;;;
1870;7;143;Mark of Vermin;;;
1871;7;143;Mark of Xoriat;;;
1890;7;143;Master of Wards;;;
1943;7;143;Mighty Dragonmark;;;
2056;7;143;Nightborn Dragonmark;;;
2101;7;143;Orien Battle Stride;;;
2263;7;143;Protective Mark;;;
2322;7;143;Quicken Dragonmark;;;
2346;7;144;Quill of Sivis;;;
2547;7;144;Sentinel Stance;;;
2588;7;144;Shield of Siberys;;;
2788;7;144;Stormrider;;;
2789;7;144;Storms Riposte;;;
2964;7;144;Trap Warden;;;
3002;7;144;Umbral Mark;;;
3024;7;144;Unlock Dragonmark;;;
3090;7;145;Ward of Khyber;;;
3159;7;145;Winters Mark;;;
29;8;145;Action Healing;;;
72;8;145;Ancestral Whispers;;;
309;8;145;Ceremonial Empowerment;;;
420;8;145;Construct Grafter;;;
648;8;145;Divine Alacrity;;;
653;8;146;Divine Countermagic;;;
678;8;146;Divine Warrior;;;
684;8;147;Domain Spontaneity;;;
1191;8;147;Frantic Rage;;;
1380;8;147;Heroic Channeling;;;
1383;8;147;Heroic Devotion;;;
1794;8;147;Lucid Channeling;;;
3266;8;147;Nightbringer Initiate;;;
2483;8;147;Sacred Resilience;;;
2941;8;148;Touch of Silver;;;
3028;8;148;Unquenchable Flame of Life;;;
3033;8;148;Unyielding Bond of Soul;;;
3170;8;148;Worldly Focus;;;
3173;8;148;Wrest Possession;;;
138;9;46;Augment Elemental;;;
491;9;46;Cull Wand Essence;;;
539;9;46;Deathless Fleshgrafter;;;
687;9;46;Dorje Mastery;;;
721;9;46;Dragon Prophesier;;;
725;9;46;Dragon Totem Focus;;;
726;9;47;Dragon Totem Lorekeeper;;;
727;9;47;Dragon Totem Scion;;;
818;9;47;Eldeen Plantgrafter;;;
829;9;47;Elemental Grafter;;;
831;9;47;Elemental Helmsman;;;
832;9;47;Elemental Smite;;;
952;9;47;Etch Schema;;;
1381;9;48;Heroic Companion;;;
1384;9;48;Heroic Focus;;;
1510;9;49;Improved Homunculus;;;
2252;9;50;Prophecy's Artifex;;;
2253;9;50;Prophecy's Explorer;;;
2254;9;50;Prophecy's Hero;;;
2255;9;50;Prophecy's Mind;;;
2256;9;50;Prophecy's Shaper;;;
2257;9;50;Prophecy's Shepherd;;;
2258;9;51;Prophecy's Slayer;;;
2269;9;51;Psiforged Body;;;
2282;9;51;Psionic Luck;;;
2299;9;51;Psychic Rush;;;
2323;9;51;Quicken Dragonmark;;;
2364;9;51;Rapid Infusion;;;
2876;9;51;Symbiont Mastery;;;
3086;9;51;Wand Surge;;;
34;10;118;Adamantine Body;;;
41;10;105;Aerenal Beastmaster;;;
68;10;105;Ancestral Guidance;;;
193;10;116;Battleshifter Training;;;
216;10;107;Bladebearer of the Valenar;;;
254;10;108;Boomerang Daze;;;
255;10;108;Boomerang Ricochet;;;
280;10;116;Brute Fighting;;;
288;10;108;Call of the Undying;;;
359;10;113;Cliffwalk Elite;;;
380;10;119;Cold Iron Tracery;;;
421;10;119;Construct Lock;;;
503;10;117;Dancing with Shadows;;;
507;10;108;Darguun Mauler;;;
521;10;108;Daylight Adaptation;;;
616;10;108;Dinosaur Hunter;;;
617;10;108;Dinosaur Wrangler;;;
644;10;117;Disturbing Visage;;;
758;10;113;Dreamsight Elite;;;
766;10;109;Drow Skirmisher;;;
1034;10;114;Extra Shifter Trait;;;
1209;10;112;Gestalt Anchor;;;
1245;10;114;Gorebrute Elite;;;
1385;10;109;Heroic Metamagic;;;
1548;10;119;Improved Resiliency;;;
1691;10;119;Ironwood Body;;;
1699;10;119;Jaws of Death;;;
1707;10;118;Kalashtar Thoughtshifter;;;
1788;10;114;Longstride Elite;;;
1790;10;114;Longtooth Elite;;;
1886;10;109;Master Linguist;;;
1967;10;119;Mithral Body;;;
1994;10;109;Mror Stalwart;;;
2024;10;110;Mutable Body;;;
2123;10;110;Path of Shadows;;;
2145;10;110;Persona Immersion;;;
2314;10;110;Quick Change;;;
2348;10;110;Racial Emulation;;;
2350;10;118;Ragewild Fighting;;;
2387;10;114;Razorclaw Elite;;;
2397;10;115;Reactive Shifting;;;
2419;10;111;Relic Hunter;;;
2541;10;120;Second Slam;;;
2560;10;111;Shadow Marches Warmonger;;;
2574;10;111;Shaped Splash;;;
2589;10;113;Shield of Thought;;;
2602;10;115;Shifter Agility;;;
2605;10;115;Shifter Ferocity;;;
2606;10;115;Shifter Instincts;;;
2609;10;115;Shifter Savagery;;;
2610;10;115;Shifter Stamina;;;
2612;10;112;Ship Savvy;;;
2633;10;120;Silver Tracery;;;
2679;10;112;Soulblade Warrior;;;
2727;10;120;Spiked Body;;;
2735;10;113;Spiritual Force;;;
2752;10;112;Stable Footing;;;
2795;10;113;Strength of Two;;;
2872;10;116;Swiftwing Elite;;;
2883;10;112;Talenta Warrior;;;
2976;10;116;Truedive Elite;;;
3004;10;120;Unarmored Body;;;
3132;10;112;White Scorpion Strike;;;
3144;10;116;Wildhunt Elite;;;
1127;11;157;Filth Eater;;;
1498;11;157;Improved Flight Item;;;
1840;11;157;Manifest Flight;;;
1841;11;157;Manifest Leap;;;
2863;11;158;Swarm's Embrace;;;
2;12;47;Aberrant Dragonmark;;;
28;12;47;Action Boost;;;
30;12;50;Action Surge;;;
32;12;50;Adamantine Body;;;
131;12;50;Ashbound;;;
137;12;50;Attune Magical Weapon;;;
196;12;50;Beast Shape;;;
197;12;51;Beast Totem;;;
199;12;20;Beasthide;;;
200;12;51;Beasthide Elite;;;
206;12;51;Bind Elemental;;;
339;12;51;Child of Winter;;;
358;12;20;Cliffwalk;;;
3600;12;52;Cliffwalk Elite;;;
691;12;52;Double Steel Strike;;;
722;12;52;Dragon Rage;;;
724;12;52;Dragon Totem;;;
804;12;52;Ecclesiarch;;;
808;12;52;Education;;;
973;12;52;Exceptional Artisan;;;
1003;12;52;Extend Rage;;;
1025;12;52;Extra Music;;;
1031;12;53;Extra Rings;;;
1032;12;53;Extra Shifter Trait;;;
1055;12;53;Extraordinary Artisan;;;
1088;12;53;Favored in House;;;
1142;12;53;Flensing Strike;;;
1205;12;54;Gatekeeper initiate;;;
1254;12;54;Great Bite;;;
1265;12;54;Great Rend;;;
1276;12;54;Greater Dragonmark;;;
1289;12;54;Greater Powerful charge;;;
1298;12;54;Greater Shifter Defense;;;
1318;12;54;Greensinger Initiate;;;
1346;12;54;Haunting Melody;;;
1354;12;55;Healing Factor;;;
1386;12;55;Heroic Spirit;;;
1464;12;55;Improved Damage Reduction;;;
1502;12;55;Improved Fortification;;;
1531;12;55;Improved Natural Attack;;;
1681;12;55;Investigate;;;
1723;12;56;Knight Training;;;
1743;12;56;Least Dragonmark;;;
1747;12;56;Legendary Artisan;;;
1759;12;56;Lesser Dragonmark;;;
1786;12;20;Longstride;;;
1787;12;57;Longstride Elite;;;
1789;12;20;Longtooth;;;
1965;12;57;Mithral Body;;;
1969;12;57;Mithral Fluidity;;;
1977;12;57;Monastic Training;;;
2020;12;57;Music of Growth;;;
2021;12;57;Music of Making;;;
2222;12;57;Powerful Charge;;;
2235;12;58;Precise Swing;;;
2309;12;58;Pursue;;;
2351;12;58;Raging Luck;;;
2386;12;20;Razorclaw;;;
2414;12;58;Recognize Imposter;;;
2429;12;58;Repel Aberration;;;
2433;12;59;Research;;;
2456;12;59;Right of Counsel;;;
2549;12;60;Serpent Strike;;;
3601;12;60;Shifter Defense;;;
2604;12;60;Shifter Ferocity;;;
2608;12;60;Shifter Multiattack;;;
2632;12;60;Silver Smite;;;
2675;12;60;Song of the Heart;;;
2677;12;60;Soothe the Beast;;;
2743;12;61;Spontaneous Casting;;;
2797;12;61;Strong Mind;;;
3602;12;61;Totem Companion;;;
3013;12;61;Undead Empathy;;;
3038;12;61;Urban Tracking;;;
3052;12;62;Vermin Companion;;;
3053;12;62;Vermin Shape;;;
3085;12;62;Wand Mastery;;;
3091;12;62;Warden initiate;;;
3126;12;62;Whirling Steel Strike;;;
3143;12;20;Wildhunt;;;
3;13;49;Aberrant Dragonmark Gift;;;
4;13;49;Aberrant Dragonmark Mystery;;;
5;13;49;Aberrant Dragonmark Vigor;;;
7;13;86;Aberration Banemagic;;;
40;13;20;Aerenal Arcanist;;;
42;13;20;Aerenal Half-Life;;;
43;13;20;Aereni Focus;;;
189;13;122;Battlebred;;;
209;13;36;Binding Brand;;;
215;13;141;Bladebearer of the Valenar;;;
3319;13;141;Bladebearer of Valenar;;;
338;13;119;Child of the Swamps;;;
344;13;122;Chosen of the Deathless;;;
745;13;48;Dragon's Insight;;;
782;13;83;Du'ulora Ancestor;;;
1194;13;75;Friends of the Tribes;;;
1202;13;77;Galifaran Scholar;;;
1344;13;83;Hashalaq Ancestor;;;
1607;13;86;Indomitable Discipline;;;
1839;13;122;Manifest Druid;;;
1896;13;125;Mastery of Chaos and Order;;;
1897;13;125;Mastery of Day and Night;;;
1898;13;125;Mastery of Dreams;;;
1899;13;125;Mastery of Faerie Enchantment;;;
1900;13;126;Mastery of Ice and Fire;;;
1901;13;126;Mastery of Madness;;;
1902;13;125;Mastery of the Azure Sky;;;
1903;13;125;Mastery of the Battleground;;;
1904;13;125;Mastery of the Dead;;;
1905;13;126;Mastery of the Mists;;;
1906;13;126;Mastery of the Silver Void;;;
1907;13;126;Mastery of Twilight Denizens;;;
1908;13;126;Mastery of Twisted Shadow;;;
2108;13;151;Overload Metabolism;;;
2131;13;25;Perfect Reflection;;;
2461;13;60;Ritual of Arcane Opposition;;;
2462;13;60;Ritual of Blight's Embrace;;;
2463;13;60;Ritual of the Timeless Soul;;;
2464;13;60;Ritual of the Woodland Bond;;;
2586;13;141;Shield of Blades;;;
2587;13;48;Shield of Deneith;;;
2601;13;135;Shifter Acrobatics;;;
2607;13;135;Shifter Magnetism;;;
2611;13;135;Shifter Stealth;;;
2615;13;151;Shocking Fist;;;
2730;13;141;Spirit of the Stallion;;;
2830;13;109;Sudden Willow Strike;;;
2871;13;48;Swiftness of Orien;;;
2881;13;75;Talenta Dinosaur Bond;;;
2882;13;75;Talenta Drifter;;;
2936;13;35;Touch of Captivation;;;
2937;13;35;Touch of Deception;;;
2942;13;35;Touch of Summoning;;;
3025;13;86;Unnatural Enemy;;;
3045;13;141;Valenar Trample;;;
65;14;114;Altitude Adaptation;;;
128;14;115;Ascetic Psion;;;
268;14;115;Breath Control;;;
378;14;115;Cold Endurance;;;
752;14;115;Dream of Contact;;;
753;14;116;Dream of Insight;;;
754;14;116;Dream of Instinct;;;
3767;14;;Dream of Perception;;;
755;14;116;Dream of Strength;;;
756;14;116;Dream of the Moment;;;
757;14;116;Dream Scion;;;
807;14;117;Edgewalker Sentinel;;;
1159;14;117;Flying Tiger;;;
1211;14;117;Gestalt Might;;;
1349;14;117;Hazing Strike;;;
3414;14;117;Insidious Terror;;;
1706;14;117;Kalashtar Mindlink;;;
1952;14;117;Mind Mask;;;
1980;14;118;Monk's Spade Mind Blade;;;
1985;14;118;Mountain Stance;;;
2196;14;118;Pole Master;;;
2300;14;118;Psychic Warfare;;;
2347;14;118;Quori Dread;;;
2430;14;118;Repel Outsiders;;;
2773;14;118;Stone Breaker;;;
2803;14;119;Stunning Master;;;
3415;14;119;Tashalatora;;;
3059;14;119;Versatile Unarmed Strike;;;
3147;14;119;Wind and Fire;;;
221;15;134;Blessed of Vulkoor ;;;
765;15;134;Drow Scorpion Warrior;;;
767;15;134;Drow Skirmisher;;;
800;15;134;Earthquake Stomp;;;
805;15;134;Echoing Spell ;;;
819;15;135;Elder Giant Magic;;;
1215;15;135;Giant Banemagic;;;
1705;15;135;Jungle Veteran;;;
2026;15;135;Mysterious Magic;;;
2422;15;135;Rending Claws;;;
779;16;144;Dungeoneer's Intuition;;;
1338;16;145;Hand of Tyr;;;
1641;16;145;Initiate of Shar;;;
1701;16;145;Jester's Magic;;;
1802;16;146;Lunar Magic;;;
3048;16;146;Veil of Cyric;;;
1576;17;42;Improved Sunder;;;
2213;17;50;Power Lunge;;;
2410;17;41;Reckless Offensive;;;
663;18;214;Divine Might;;;
674;18;214;Divine Vengeance;;;
856;18;214;Empower Turning;;;
949;18;214;Eschew Materials;;;
1375;18;214;Heighten Turning;;;
1697;18;214;Jack of All Trades;;;
1810;18;214;Lycanthropic Spell;;;
2341;18;215;Quicken Turning;;;
2393;18;215;Reach Spell;;;
2487;18;215;Sacred Spell;;;
2842;18;215;Superior Expertise;;;
98;19;33;Arcane Preparation;;;
101;19;33;Arcane Schooling;;;
123;19;33;Artist;;;
234;19;33;Blooded;;;
236;19;34;Bloodline of fire;;;
281;19;34;Bullheaded;;;
440;19;34;Cosmopolitan;;;
444;19;34;Courteous Magocracy;;;
486;19;34;Create Portal;;;
519;19;34;Daylight Adaptation;;;
579;19;34;Delay Spell;;;
628;19;34;Discipline;;;
809;19;34;Education;;;
954;19;34;Ethran;;;
1169;19;34;Foe Hunter;;;
1178;19;35;Forester;;;
1301;19;35;Greater Spell Focus;;;
1305;19;35;Greater Spell Penetration;;;
1407;19;35;Horse Nomad;;;
1460;19;35;Improved Counterspell;;;
1483;19;35;Improved Familiar;;;
1650;19;36;Innate Spell;;;
1656;19;36;Inscribe Rune;;;
1659;19;36;Insidious Magic;;;
1796;19;36;Luck of Heroes;;;
1828;19;36;Magical Artisan;;;
1833;19;36;Magical Training;;;
1926;19;36;Mercantile Background;;;
1947;19;36;Militia;;;
1953;19;37;Mind over Body;;;
2135;19;37;Pernicious Magic;;;
2142;19;37;Persistent Spell;;;
2438;19;37;Resist Poison;;;
2495;19;37;Saddleback;;;
2568;19;37;Shadow Weave Magic;;;
2622;19;37;Signature Spell;;;
2630;19;37;Silver Palm;;;
2654;19;37;Smooth Talk;;;
2656;19;38;Snake Blood;;;
2717;19;38;Spellcasting Prodigy;;;
2764;19;38;Stealthy;;;
2791;19;38;Street Smart;;;
2798;19;38;Strong Soul;;;
2854;19;38;Survivor;;;
2891;19;38;Tattoo Focus;;;
2898;19;38;Tenacious Magic;;;
2918;19;38;Thug;;;
2920;19;38;Thunder Twin;;;
2968;19;38;Treetopper;;;
2990;19;39;Twin Spell;;;
2992;19;39;Twin Sword Style;;;
136;20;21;Attune Gem;;;
140;20;21;Augment Summoning;;;
881;20;21;Energy Substitution;;;
3625;20;22;Eschew Materials;;;
2395;20;22;Reactive Counterspell;;;
2700;20;22;Spell Girding;;;
2713;20;22;Spell Thematics;;;
2719;20;23;Spellfire Wielder;;;
3137;20;23;Widen Spell;;;
1155;21;9;Flyby Attack;;;
2000;21;9;Multiattack;;;
2005;21;9;Multidexterity;;;
2016;21;9;Multiweapon Fighting;;;
99;22;32;Arcane Preparation;;;
102;22;33;Arcane Schooling;;;
124;22;33;Artist;;;
161;22;33;Axethrower;;;
164;22;135;Axiomatic Strike;;;
220;22;176;Blessed of the Seven Sisters;;;
235;22;35;Blooded;;;
237;22;35;Bloodline of fire;;;
282;22;37;Bullheaded;;;
345;22;135;Chosen Weapon Specialization;;;
441;22;37;Cosmopolitan;;;
518;22;37;Dauntless;;;
520;22;37;Daylight Adaptation;;;
580;22;37;Delay Spell;;;
629;22;38;Discipline;;;
668;22;135;Divine Spell Penetration;;;
751;22;38;Dreadful Wrath;;;
810;22;38;Education;;;
886;22;135;Enhance Effect;;;
904;22;135;Epic Counterspell;;;
909;22;135;Epic Devotion;;;
940;22;136;Epic Spellfire Wielder;;;
955;22;38;Ethran;;;
1092;22;176;Favored of the Zulkirs;;;
1096;22;38;Fearless;;;
1140;22;38;Fleet of Foot;;;
1170;22;38;Foe Hunter;;;
1179;22;39;Forester;;;
1183;22;39;Forgeheart;;;
1200;22;39;Furious Charge;;;
1218;22;176;Gift of Discernment;;;
1408;22;39;Horse Nomad;;;
1458;22;136;Improved Cooperative Metamagic;;;
1484;22;39;Improved Familiar;;;
1564;22;136;Improved Snatch Spell;;;
1570;22;136;Improved Spellpool Access;;;
3271;22;;Initiate of Ilmater;;;
3272;22;;Initiate of Tyr;;;
1651;22;39;Innate Spell;;;
1655;22;136;Inscribe Epic Runes;;;
1657;22;40;Inscribe Rune;;;
1660;22;40;Insidious Magic;;;
1717;22;40;Knifefighter;;;
1783;22;176;Lliira's Blessing;;;
1797;22;40;Luck of Heroes;;;
1824;22;40;Magic In The Blood;;;
1829;22;41;Magical Artisan;;;
1834;22;41;Magical Training;;;
1927;22;41;Mercantile Background;;;
1948;22;41;Militia;;;
1954;22;41;Mind over Body;;;
2102;22;41;Otherworldly;;;
2136;22;42;Pernicious Magic;;;
2143;22;42;Persistent Spell;;;
2201;22;42;Portal Master;;;
2396;22;42;Reactive Counterspell;;;
2440;22;43;Resist Poison;;;
2496;22;43;Saddleback;;;
2569;22;43;Shadow Weave Magic;;;
2623;22;43;Signature Spell;;;
2631;22;43;Silver Palm;;;
2655;22;43;Smooth Talk;;;
2657;22;43;Snake Blood;;;
2714;22;44;Spell Thematics;;;
2718;22;44;Spellcasting Prodigy;;;
2724;22;44;Spellwise;;;
2726;22;176;Spider Bite;;;
2725;22;44;Stormheart;;;
2792;22;44;Street Smart;;;
2799;22;44;Strong Soul;;;
2851;22;45;Surefooted;;;
2855;22;45;Survivor;;;
2866;22;45;Swift and Silent;;;
2892;22;45;Tattoo Focus;;;
2899;22;45;Tenacious Magic;;;
2919;22;45;Thug;;;
2921;22;46;Thunder Twin;;;
2925;22;46;Tireless;;;
3599;22;177;Touch of Hate;;;
2969;22;46;Treetopper;;;
2991;22;46;Twin Spell;;;
2993;22;46;Twin Sword Style;;;
46;23;160;Aftersight;;;
71;23;161;Ancestral Spirit;;;
78;23;161;Animal Friends;;;
87;23;161;Arachnid Rider;;;
108;23;161;Arctic Adaptation;;;
165;23;161;Azerblood;;;
181;23;161;Batrider;;;
232;23;161;Blood of the Warlord;;;
271;23;161;Breathing Link;;;
286;23;161;Calishite Elementalist: Air;;;
287;23;161;Calishite Elementalist: Fire;;;
291;23;162;Caravanner;;;
298;23;162;Celestial Bloodline;;;
341;23;162;Chondathan Missionary;;;
366;23;162;Close-Quarters Fighting;;;
549;23;162;Deepening Darkness;;;
632;23;162;Disentangler;;;
764;23;162;Drow Eyes;;;
775;23;162;Duergar Mindshaper;;;
823;23;162;Eldritch Linguist;;;
826;23;163;Elemental Bloodline;;;
885;23;163;Enervative Healing;;;
1063;23;163;Eyes of Light;;;
1115;23;163;Fiendish Bloodline;;;
1177;23;163;Forest Gnome Phantasist;;;
1208;23;163;Genie Lore;;;
1221;23;163;Gift of Tongues;;;
1242;23;163;Gold Dwarf Dweomersmith;;;
1322;23;163;Grim Visage;;;
1334;23;164;Hammer Fist;;;
